 nestea@TS-676767  /mnt/…/Programing   main                               ✓ 0  15:55:07
 ❯ nmap -p 11700-11799 -Pn 172.104.142.244
Starting Nmap 7.94SVN ( https://nmap.org ) at 2026-06-02 15:55 CEST
Nmap scan report for 172-104-142-244.ip.linodeusercontent.com (172.104.142.244)
Host is up (0.045s latency).

PORT      STATE SERVICE
11700/tcp open  unknown
11701/tcp open  unknown
11702/tcp open  unknown
11703/tcp open  unknown
11704/tcp open  unknown
11705/tcp open  unknown
11706/tcp open  unknown
11707/tcp open  unknown
11708/tcp open  unknown
11709/tcp open  unknown
11710/tcp open  unknown
11711/tcp open  unknown
11712/tcp open  unknown
11713/tcp open  unknown
11714/tcp open  unknown
11715/tcp open  unknown
11716/tcp open  unknown
11717/tcp open  unknown
11718/tcp open  unknown
11719/tcp open  unknown
11720/tcp open  h323callsigalt
11721/tcp open  unknown
11722/tcp open  unknown
11723/tcp open  emc-xsw-dcache
11724/tcp open  unknown
11725/tcp open  unknown
11726/tcp open  unknown
11727/tcp open  unknown
11728/tcp open  unknown
11729/tcp open  unknown
11730/tcp open  unknown
11731/tcp open  unknown
11732/tcp open  unknown
11733/tcp open  unknown
11734/tcp open  unknown
11735/tcp open  unknown
11736/tcp open  unknown
11737/tcp open  unknown
11738/tcp open  unknown
11739/tcp open  unknown
11740/tcp open  unknown
11741/tcp open  unknown
11742/tcp open  unknown
11743/tcp open  unknown
11744/tcp open  unknown
11745/tcp open  unknown
11746/tcp open  unknown
11747/tcp open  unknown
11748/tcp open  unknown
11749/tcp open  unknown
11750/tcp open  unknown
11751/tcp open  intrepid-ssl
11752/tcp open  unknown
11753/tcp open  unknown
11754/tcp open  unknown
11755/tcp open  unknown
11756/tcp open  unknown
11757/tcp open  unknown
11758/tcp open  unknown
11759/tcp open  unknown
11760/tcp open  unknown
11761/tcp open  unknown
11762/tcp open  unknown
11763/tcp open  unknown
11764/tcp open  unknown
11765/tcp open  unknown
11766/tcp open  unknown
11767/tcp open  unknown
11768/tcp open  unknown
11769/tcp open  unknown
11770/tcp open  unknown
11771/tcp open  unknown
11772/tcp open  unknown
11773/tcp open  unknown
11774/tcp open  unknown
11775/tcp open  unknown
11776/tcp open  unknown
11777/tcp open  unknown
11778/tcp open  unknown
11779/tcp open  unknown
11780/tcp open  unknown
11781/tcp open  unknown
11782/tcp open  unknown
11783/tcp open  unknown
11784/tcp open  unknown
11785/tcp open  unknown
11786/tcp open  unknown
11787/tcp open  unknown
11788/tcp open  unknown
11789/tcp open  unknown
11790/tcp open  unknown
11791/tcp open  unknown
11792/tcp open  unknown
11793/tcp open  unknown
11794/tcp open  unknown
11795/tcp open  unknown
11796/tcp open  lanschool
11797/tcp open  unknown
11798/tcp open  unknown
11799/tcp open  unknown

Nmap done: 1 IP address (1 host up) scanned in 7.32 seconds
